"","spp","samples","var","scale","AICc","delta","df"
"pdev150","myse","10","pdev","150",146.677361909521,0,3
"pdev120","myse","10","pdev","120",146.714874883679,0.0375,3
"pdev180","myse","10","pdev","180",146.774657342727,0.0973,3
"pdev270","myse","10","pdev","270",146.793771482057,0.1164,3
"pdev300","myse","10","pdev","300",146.798321659247,0.121,3
"pdev090","myse","10","pdev","090",146.799596819863,0.1222,3
"pdev330","myse","10","pdev","330",146.813612475762,0.1363,3
"pdev240","myse","10","pdev","240",146.823083692222,0.1457,3
"pdev360","myse","10","pdev","360",146.830108778887,0.1527,3
"pdev060","myse","10","pdev","060",146.830830350272,0.1535,3
"pdev210","myse","10","pdev","210",146.846931022781,0.1696,3
