"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","10","bldg","360",177.358397815603,0
"bldg330","epfu","10","bldg","330",177.769019173818,0.4106
"bldg300","epfu","10","bldg","300",178.128249663033,0.7699
"bldg270","epfu","10","bldg","270",178.690894332447,1.3325
"bldg240","epfu","10","bldg","240",179.192955303998,1.8346
"bldg210","epfu","10","bldg","210",179.669212133641,2.3108
"bldg180","epfu","10","bldg","180",180.038087318391,2.6797
"bldg150","epfu","10","bldg","150",180.272935463342,2.9145
"bldg060","epfu","10","bldg","060",180.273264013026,2.9149
"bldg090","epfu","10","bldg","090",180.323429475613,2.965
"bldg120","epfu","10","bldg","120",180.334019634743,2.9756
