"","spp","samples","var","scale","AICc","delta"
"road180","epfu","10","road","180",178.765431283292,0
"road360","epfu","10","road","360",179.164337469361,0.3989
"road330","epfu","10","road","330",179.413402063119,0.648
"road210","epfu","10","road","210",179.850092958453,1.0847
"road150","epfu","10","road","150",180.124506491041,1.3591
"road120","epfu","10","road","120",180.192876564058,1.4274
"road300","epfu","10","road","300",180.246315173815,1.4809
"road090","epfu","10","road","090",180.302664763014,1.5372
"road060","epfu","10","road","060",180.308551266171,1.5431
"road240","epfu","10","road","240",180.327005303314,1.5616
"road270","epfu","10","road","270",180.331889217247,1.5665
