"","spp","samples","var","scale","AICc","delta","df"
"bldg360","epfu","60","bldg","360",268.623649518173,0,3
"bldg330","epfu","60","bldg","330",269.008026975449,0.3844,3
"bldg300","epfu","60","bldg","300",269.326203554548,0.7026,3
"bldg270","epfu","60","bldg","270",269.886582535319,1.2629,3
"bldg240","epfu","60","bldg","240",270.31371938901,1.6901,3
"bldg210","epfu","60","bldg","210",270.805550779265,2.1819,3
"bldg180","epfu","60","bldg","180",271.113462826643,2.4898,3
"bldg060","epfu","60","bldg","060",271.247840190333,2.6242,3
"bldg090","epfu","60","bldg","090",271.30763829045,2.684,3
"bldg150","epfu","60","bldg","150",271.326460168857,2.7028,3
"bldg120","epfu","60","bldg","120",271.327965653383,2.7043,3
