"","spp","samples","var","scale","AICc","delta"
"ptcc240","epfu","1","ptcc","240",73.9571681206145,0
"ptcc210","epfu","1","ptcc","210",74.5552656683091,0.5981
"ptcc180","epfu","1","ptcc","180",75.1085206263242,1.1514
"ptcc150","epfu","1","ptcc","150",76.1271992353039,2.17
"ptcc120","epfu","1","ptcc","120",76.9208385441694,2.9637
"ptcc060","epfu","1","ptcc","060",77.0192374052062,3.0621
"ptcc090","epfu","1","ptcc","090",77.2609344154788,3.3038
