"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","50","pgra","090",207.336078148501,0
"pgra060","myse","50","pgra","060",207.56677630299,0.2307
"pgra120","myse","50","pgra","120",208.143485236351,0.8074
"pgra150","myse","50","pgra","150",208.40776669639,1.0717
"pgra180","myse","50","pgra","180",208.88752163213,1.5514
"pgra210","myse","50","pgra","210",209.820529056121,2.4845
"pgra240","myse","50","pgra","240",210.245413072426,2.9093
"pgra270","myse","50","pgra","270",210.706988856553,3.3709
"pgra300","myse","50","pgra","300",211.440212735159,4.1041
"pgra330","myse","50","pgra","330",212.234230289737,4.8982
"pgra360","myse","50","pgra","360",212.64333107177,5.3073
