"","spp","samples","var","scale","AICc","delta"
"road090","myse","70","road","090",224.698462499368,0
"road270","myse","70","road","270",225.873499978503,1.175
"road150","myse","70","road","150",226.320605352527,1.6221
"road300","myse","70","road","300",226.40572121746,1.7073
"road210","myse","70","road","210",226.447535717349,1.7491
"road360","myse","70","road","360",226.489224657672,1.7908
"road240","myse","70","road","240",226.556013079788,1.8576
"road120","myse","70","road","120",226.608004121189,1.9095
"road330","myse","70","road","330",226.694066190244,1.9956
"road180","myse","70","road","180",226.69759134098,1.9991
"road060","myse","70","road","060",226.735589584625,2.0371
