"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","80","pfor","360",283.328132245074,0,3
"pfor330","epfu","80","pfor","330",283.560234465712,0.2321,3
"pfor300","epfu","80","pfor","300",283.880631753375,0.5525,3
"pfor270","epfu","80","pfor","270",284.188634797132,0.8605,3
"pfor240","epfu","80","pfor","240",284.441404484442,1.1133,3
"pfor210","epfu","80","pfor","210",284.8773732708,1.5492,3
"pfor180","epfu","80","pfor","180",285.187568260094,1.8594,3
"pfor150","epfu","80","pfor","150",285.579521099821,2.2514,3
"pfor120","epfu","80","pfor","120",286.037381841167,2.7092,3
"pfor090","epfu","80","pfor","090",286.180999073565,2.8529,3
"pfor060","epfu","80","pfor","060",286.200440846291,2.8723,3
