"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","70","pfor","150",226.592865462005,0,3
"pfor120","myse","70","pfor","120",226.622594866564,0.0297,3
"pfor060","myse","70","pfor","060",226.682065576221,0.0892,3
"pfor270","myse","70","pfor","270",226.697452778552,0.1046,3
"pfor180","myse","70","pfor","180",226.69861354184,0.1057,3
"pfor090","myse","70","pfor","090",226.719303626481,0.1264,3
"pfor240","myse","70","pfor","240",226.724224445575,0.1314,3
"pfor360","myse","70","pfor","360",226.726071439553,0.1332,3
"pfor300","myse","70","pfor","300",226.731305097357,0.1384,3
"pfor210","myse","70","pfor","210",226.751155763546,0.1583,3
"pfor330","myse","70","pfor","330",226.75150431951,0.1586,3
