"","spp","samples","var","scale","AICc","delta"
"pfor360","epfu","70","pfor","360",276.377281552644,0
"pfor330","epfu","70","pfor","330",276.60301576836,0.2257
"pfor300","epfu","70","pfor","300",276.91843604293,0.5412
"pfor270","epfu","70","pfor","270",277.226667682933,0.8494
"pfor240","epfu","70","pfor","240",277.486042920989,1.1088
"pfor210","epfu","70","pfor","210",277.936660301846,1.5594
"pfor180","epfu","70","pfor","180",278.251259625077,1.874
"pfor150","epfu","70","pfor","150",278.649526374242,2.2722
"pfor120","epfu","70","pfor","120",279.117895036918,2.7406
"pfor090","epfu","70","pfor","090",279.276128904783,2.8988
"pfor060","epfu","70","pfor","060",279.303911827225,2.9266
