"","spp","samples","var","scale","AICc","delta","df"
"pwet060","epfu","100","pwet","060",296.469317460106,0,3
"pwet090","epfu","100","pwet","090",296.63804136312,0.1687,3
"pwet120","epfu","100","pwet","120",296.988924671477,0.5196,3
"pwet150","epfu","100","pwet","150",297.594781991438,1.1255,3
"pwet300","epfu","100","pwet","300",297.671481909763,1.2022,3
"pwet270","epfu","100","pwet","270",297.675799538351,1.2065,3
"pwet330","epfu","100","pwet","330",297.693815613728,1.2245,3
"pwet240","epfu","100","pwet","240",297.694402021255,1.2251,3
"pwet360","epfu","100","pwet","360",297.711977455574,1.2427,3
"pwet210","epfu","100","pwet","210",297.722078701639,1.2528,3
"pwet180","epfu","100","pwet","180",297.734495356271,1.2652,3
