"","spp","samples","var","scale","AICc","delta","df"
"pfor360","epfu","30","pfor","360",232.996147239498,0,3
"pfor330","epfu","30","pfor","330",233.230119277129,0.234,3
"pfor300","epfu","30","pfor","300",233.542857391705,0.5467,3
"pfor270","epfu","30","pfor","270",233.845156605603,0.849,3
"pfor240","epfu","30","pfor","240",234.080932090482,1.0848,3
"pfor210","epfu","30","pfor","210",234.521525855818,1.5254,3
"pfor180","epfu","30","pfor","180",234.836677891668,1.8405,3
"pfor150","epfu","30","pfor","150",235.219214848545,2.2231,3
"pfor120","epfu","30","pfor","120",235.633853223939,2.6377,3
"pfor060","epfu","30","pfor","060",235.738150202313,2.742,3
"pfor090","epfu","30","pfor","090",235.745557213347,2.7494,3
