"","spp","samples","var","scale","AICc","delta","df"
"pgra300","epfu","70","pgra","300",276.934007252018,0,3
"pgra330","epfu","70","pgra","330",276.951539482701,0.0175,3
"pgra210","epfu","70","pgra","210",277.101518085323,0.1675,3
"pgra240","epfu","70","pgra","240",277.122829568045,0.1888,3
"pgra270","epfu","70","pgra","270",277.223439419037,0.2894,3
"pgra360","epfu","70","pgra","360",277.265921202724,0.3319,3
"pgra180","epfu","70","pgra","180",277.319678002892,0.3857,3
"pgra150","epfu","70","pgra","150",277.715095619144,0.7811,3
"pgra060","epfu","70","pgra","060",278.385539574047,1.4515,3
"pgra120","epfu","70","pgra","120",278.448949658419,1.5149,3
"pgra090","epfu","70","pgra","090",278.653393027696,1.7194,3
