"","spp","samples","var","scale","AICc","delta","df"
"pfor150","myse","50","pfor","150",212.543963528109,0,3
"pfor120","myse","50","pfor","120",212.576114407528,0.0322,3
"pfor180","myse","50","pfor","180",212.663566248447,0.1196,3
"pfor090","myse","50","pfor","090",212.692984997716,0.149,3
"pfor060","myse","50","pfor","060",212.696053735725,0.1521,3
"pfor360","myse","50","pfor","360",212.699599228947,0.1556,3
"pfor270","myse","50","pfor","270",212.716372211867,0.1724,3
"pfor240","myse","50","pfor","240",212.734051285217,0.1901,3
"pfor300","myse","50","pfor","300",212.738275030301,0.1943,3
"pfor210","myse","50","pfor","210",212.739371341545,0.1954,3
"pfor330","myse","50","pfor","330",212.741770931259,0.1978,3
