"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","70","bldg","360",276.605472374169,0
"bldg330","epfu","70","bldg","330",276.986338002227,0.3809
"bldg300","epfu","70","bldg","300",277.302661887915,0.6972
"bldg270","epfu","70","bldg","270",277.849257561323,1.2438
"bldg240","epfu","70","bldg","240",278.26674743454,1.6613
"bldg210","epfu","70","bldg","210",278.757442218462,2.152
"bldg180","epfu","70","bldg","180",279.06320126941,2.4577
"bldg060","epfu","70","bldg","060",279.209036927166,2.6036
"bldg090","epfu","70","bldg","090",279.265162272195,2.6597
"bldg150","epfu","70","bldg","150",279.278657684368,2.6732
"bldg120","epfu","70","bldg","120",279.284574826957,2.6791
