"","spp","samples","var","scale","AICc","delta","df"
"pgra060","myse","20","pgra","060",170.161395329898,0,3
"pgra090","myse","20","pgra","090",170.381859153743,0.2205,3
"pgra120","myse","20","pgra","120",170.906554193947,0.7452,3
"pgra150","myse","20","pgra","150",171.082940752826,0.9215,3
"pgra180","myse","20","pgra","180",171.595199906769,1.4338,3
"pgra210","myse","20","pgra","210",172.475753962576,2.3144,3
"pgra240","myse","20","pgra","240",172.917307850449,2.7559,3
"pgra270","myse","20","pgra","270",173.333341195791,3.1719,3
"pgra300","myse","20","pgra","300",173.920699265353,3.7593,3
"pgra330","myse","20","pgra","330",174.530305221619,4.3689,3
"pgra360","myse","20","pgra","360",174.839332623561,4.6779,3
