"","spp","samples","var","scale","AICc","delta"
"bldg360","epfu","20","bldg","360",212.462180209643,0
"bldg330","epfu","20","bldg","330",212.847183128518,0.385
"bldg300","epfu","20","bldg","300",213.181480312465,0.7193
"bldg270","epfu","20","bldg","270",213.709212721751,1.247
"bldg240","epfu","20","bldg","240",214.139248967028,1.6771
"bldg210","epfu","20","bldg","210",214.61318892421,2.151
"bldg180","epfu","20","bldg","180",214.897199249061,2.435
"bldg060","epfu","20","bldg","060",214.939892577558,2.4777
"bldg090","epfu","20","bldg","090",215.016728921461,2.5545
"bldg120","epfu","20","bldg","120",215.058970816897,2.5968
"bldg150","epfu","20","bldg","150",215.084035548485,2.6219
