"","spp","samples","var","scale","AICc","delta"
"road360","epfu","1","road","360",75.5802815384204,0
"road330","epfu","1","road","330",76.0352904493842,0.455
"road300","epfu","1","road","300",77.1468339045771,1.5666
"road270","epfu","1","road","270",77.4840548085254,1.9038
"road240","epfu","1","road","240",77.8652901432675,2.285
"road180","epfu","1","road","180",78.3170040531732,2.7367
"road120","epfu","1","road","120",78.3285331363339,2.7483
"road060","epfu","1","road","060",78.413189553182,2.8329
"road210","epfu","1","road","210",78.4135442960785,2.8333
"road090","epfu","1","road","090",78.5396034695159,2.9593
"road150","epfu","1","road","150",78.556417598042,2.9761
