"","spp","samples","var","scale","AICc","delta"
"road090","myse","90","road","090",235.032955000505,0
"road270","myse","90","road","270",236.356303815589,1.3233
"road150","myse","90","road","150",236.850202912993,1.8172
"road300","myse","90","road","300",236.869829349228,1.8369
"road360","myse","90","road","360",236.919473881,1.8865
"road210","myse","90","road","210",236.956787535104,1.9238
"road120","myse","90","road","120",237.045561996429,2.0126
"road240","myse","90","road","240",237.051361712656,2.0184
"road330","myse","90","road","330",237.181515058972,2.1486
"road180","myse","90","road","180",237.193894849502,2.1609
"road060","myse","90","road","060",237.218605937724,2.1857
