"","spp","samples","var","scale","AICc","delta"
"ptcc090","myse","10","ptcc","090",146.339926073815,0
"ptcc150","myse","10","ptcc","150",146.350789876749,0.0109
"ptcc120","myse","10","ptcc","120",146.356221594946,0.0163
"ptcc060","myse","10","ptcc","060",146.521593979164,0.1817
"ptcc180","myse","10","ptcc","180",146.535731211306,0.1958
"ptcc210","myse","10","ptcc","210",146.657675274399,0.3177
"ptcc240","myse","10","ptcc","240",146.705229524651,0.3653
