"","spp","samples","var","scale","AICc","delta","df"
"pgra060","myse","1","pgra","060",60.4660616768351,0,3
"pgra090","myse","1","pgra","090",60.8382362478185,0.3722,3
"pgra120","myse","1","pgra","120",61.870298405035,1.4042,3
"pgra150","myse","1","pgra","150",62.3005057079389,1.8344,3
"pgra180","myse","1","pgra","180",62.6198417363165,2.1538,3
"pgra210","myse","1","pgra","210",63.1870900439777,2.721,3
"pgra240","myse","1","pgra","240",63.5794715956835,3.1134,3
"pgra270","myse","1","pgra","270",64.0247569922408,3.5587,3
"pgra360","myse","1","pgra","360",64.5093358241984,4.0433,3
"pgra300","myse","1","pgra","300",64.5474375191313,4.0814,3
"pgra330","myse","1","pgra","330",64.8558241285281,4.3898,3
