"","spp","samples","var","scale","AICc","delta","df"
"road180","epfu","60","road","180",269.261442552158,0,3
"road360","epfu","60","road","360",270.442273757693,1.1808,3
"road330","epfu","60","road","330",270.661896132221,1.4005,3
"road120","epfu","60","road","120",270.699910051307,1.4385,3
"road210","epfu","60","road","210",270.707967829899,1.4465,3
"road150","epfu","60","road","150",270.795032586411,1.5336,3
"road060","epfu","60","road","060",271.196265706523,1.9348,3
"road300","epfu","60","road","300",271.221133091137,1.9597,3
"road090","epfu","60","road","090",271.265443757581,2.004,3
"road240","epfu","60","road","240",271.325709304038,2.0643,3
"road270","epfu","60","road","270",271.340692739234,2.0793,3
