"","spp","samples","var","scale","AICc","delta"
"road090","myse","100","road","090",239.245275513461,0
"road270","myse","100","road","270",240.851424138965,1.6061
"road150","myse","100","road","150",241.291925881985,2.0467
"road300","myse","100","road","300",241.34078478247,2.0955
"road360","myse","100","road","360",241.359561569302,2.1143
"road210","myse","100","road","210",241.38990061551,2.1446
"road120","myse","100","road","120",241.412684779144,2.1674
"road240","myse","100","road","240",241.48898072256,2.2437
"road330","myse","100","road","330",241.5986085274,2.3533
"road180","myse","100","road","180",241.610961548934,2.3657
"road060","myse","100","road","060",241.630814598861,2.3855
